Google Summer of Code,Public Lab,2019-05-06,2019-08-26
Google STEP Internship,Google Search Team,2020-05-18,2020-06-26
Precog – Research at IIITD,Research Intern,2019-08-01,2020-09-01
Google Summer of Code Mentor,DIAL Organization,2020-04-01,2020-09-01
Google Code In Mentor,Public Lab,2019-11-01,2020-02-01
Outreachy Mentor,Public Lab,2019-09-01,2020-03-01
Women Who Code - Delhi,Member,2019-10-01,2020-09-01
Developer Students Club – IIITD,Core Member,2019-03-01,2020-09-01
Fossasia,Member,2019-09-01,2020-09-01
Google Cloud Platform – DSC IIITD,Facilitator,2019-10-01,2019-11-01
Creatives OT – Esya IIITD,Member,2019-05-01,2019-08-01
